gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,TenureGroup,HasInternetService,IsMonthToMonth,NumberOfSupportServices,AverageChargesPerTenure,Actual_Churn,Predicted_Churn_Probability,Predicted_Churn,Risk_Category,Recommended_Action
Male,0,No,Yes,15,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,91.0,1430.05,13-24 months,Yes,Yes,1,95.33666666666666,0,0.7792419144472058,1,High Risk,Immediate retention offer or customer support follow-up
Female,0,Yes,No,67,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),105.7,6816.95,49-72 months,Yes,No,2,101.7455223880597,0,0.40459273780920674,0,Medium Risk,Monitor customer and offer personalized engagement
Female,0,Yes,No,26,No,No phone service,DSL,Yes,No,Yes,No,No,No,One year,No,Credit card (automatic),35.4,978.6,25-48 months,Yes,No,2,37.63846153846154,0,0.19325761904572059,0,Low Risk,Maintain regular customer relationship
Male,1,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.85,156.4,0-12 months,Yes,Yes,0,78.2,1,0.8846743945313539,1,High Risk,Immediate retention offer or customer support follow-up
Female,0,Yes,No,21,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,28.5,629.35,13-24 months,Yes,Yes,1,29.969047619047622,0,0.4274340048535118,0,Medium Risk,Monitor customer and offer personalized engagement
Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20.05,923.1,49-72 months,No,No,0,18.838775510204083,0,0.07742568701657265,0,Low Risk,Maintain regular customer relationship
Male,0,Yes,Yes,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.8,350.1,13-24 months,No,No,0,16.67142857142857,0,0.07381469107220014,0,Low Risk,Maintain regular customer relationship
Female,0,Yes,No,51,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,69.15,3649.6,49-72 months,Yes,Yes,0,71.56078431372549,0,0.4501340032883878,0,Medium Risk,Monitor customer and offer personalized engagement
Male,1,Yes,No,16,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),54.55,825.1,13-24 months,Yes,Yes,2,51.56875,0,0.36224533354524374,0,Low Risk,Maintain regular customer relationship
Female,0,No,No,22,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,89.25,1907.85,13-24 months,Yes,Yes,0,86.72045454545454,1,0.7379140383378708,1,High Risk,Immediate retention offer or customer support follow-up
Male,0,Yes,No,13,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),102.25,1359.0,13-24 months,Yes,Yes,1,104.53846153846153,1,0.8329541265337417,1,High Risk,Immediate retention offer or customer support follow-up
Female,0,No,Yes,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,25.1,1070.15,25-48 months,No,No,0,24.887209302325584,0,0.045202744606338274,0,Low Risk,Maintain regular customer relationship
Female,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.45,240.45,0-12 months,Yes,Yes,0,80.14999999999999,1,0.9209902892869705,1,High Risk,Immediate retention offer or customer support follow-up
Male,1,No,No,54,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,4931.8,49-72 months,Yes,Yes,1,91.32962962962964,0,0.7396641045707144,1,High Risk,Immediate retention offer or customer support follow-up
Male,0,No,Yes,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.2,24.2,0-12 months,Yes,Yes,0,24.2,0,0.6712306259800769,1,Medium Risk,Monitor customer and offer personalized engagement
Male,0,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.55,1403.1,49-72 months,No,No,0,20.33478260869565,0,0.031030597128064382,0,Low Risk,Maintain regular customer relationship
Male,0,No,No,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),23.4,1429.65,49-72 months,No,No,0,23.058870967741935,0,0.02218640883081217,0,Low Risk,Maintain regular customer relationship
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.4,168.2,0-12 months,Yes,Yes,0,84.1,1,0.9216373842739874,1,High Risk,Immediate retention offer or customer support follow-up
Female,1,Yes,Yes,62,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),96.1,6019.35,49-72 months,Yes,Yes,2,97.08629032258065,0,0.548431003099795,0,Medium Risk,Monitor customer and offer personalized engagement
Male,1,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,44.95,85.15,0-12 months,Yes,Yes,0,42.575,1,0.6368068320472611,1,Medium Risk,Monitor customer and offer personalized engagement
Male,0,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.9,1356.7,49-72 months,No,No,0,19.66231884057971,0,0.010124157886084442,0,Low Risk,Maintain regular customer relationship
Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,74.5,0-12 months,Yes,Yes,0,74.5,1,0.9044845119959426,1,High Risk,Immediate retention offer or customer support follow-up
Male,0,No,No,31,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,55.25,1715.65,25-48 months,Yes,Yes,2,55.343548387096774,1,0.37434341653913544,0,Low Risk,Maintain regular customer relationship
Male,1,No,No,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.3,1356.3,49-72 months,No,No,0,19.656521739130433,0,0.01443202010231088,0,Low Risk,Maintain regular customer relationship
Male,0,Yes,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.45,171.45,0-12 months,Yes,Yes,1,85.725,0,0.9245048434487588,1,High Risk,Immediate retention offer or customer support follow-up
Female,0,No,No,33,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.4,2406.1,25-48 months,Yes,Yes,0,72.9121212121212,0,0.5473937303780191,0,Medium Risk,Monitor customer and offer personalized engagement
Female,0,Yes,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.6,55.25,0-12 months,No,Yes,0,18.416666666666668,0,0.4686876680792451,0,Medium Risk,Monitor customer and offer personalized engagement
Male,0,No,No,44,Yes,No,DSL,Yes,No,No,Yes,Yes,No,One year,No,Electronic check,65.4,2774.55,25-48 months,Yes,No,2,63.05795454545455,0,0.10206612117405688,0,Low Risk,Maintain regular customer relationship
Male,0,No,No,10,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,110.1,1043.3,0-12 months,Yes,Yes,4,104.33,1,0.7997774334096686,1,High Risk,Immediate retention offer or customer support follow-up
Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.25,576.7,0-12 months,Yes,Yes,0,72.0875,0,0.8797581159627367,1,High Risk,Immediate retention offer or customer support follow-up
Male,0,No,No,8,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,66.65,520.95,0-12 months,Yes,Yes,2,65.11875,0,0.6565436365585443,1,Medium Risk,Monitor customer and offer personalized engagement
Female,0,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.35,1442.65,49-72 months,No,No,0,20.907971014492755,0,0.03036329418431152,0,Low Risk,Maintain regular customer relationship
Female,0,No,No,23,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),75.6,1758.6,13-24 months,Yes,Yes,0,76.4608695652174,1,0.5727178207711172,1,Medium Risk,Monitor customer and offer personalized engagement
Male,0,No,No,66,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,25.1,1697.7,49-72 months,No,No,0,25.722727272727273,0,0.019467858667232805,0,Low Risk,Maintain regular customer relationship
Female,0,Yes,Yes,1,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,102.45,102.45,0-12 months,Yes,Yes,2,102.45,1,0.9057963019564502,1,High Risk,Immediate retention offer or customer support follow-up
Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.95,58.0,0-12 months,No,Yes,0,19.333333333333332,0,0.375252330917133,0,Low Risk,Maintain regular customer relationship
Female,0,No,Yes,5,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,51.0,286.8,0-12 months,Yes,Yes,1,57.36,0,0.5103258394922843,0,Medium Risk,Monitor customer and offer personalized engagement
Female,0,No,Yes,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,51.2,51.2,0-12 months,Yes,Yes,1,51.2,0,0.44524426423323366,0,Medium Risk,Monitor customer and offer personalized engagement
Female,0,No,No,9,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),77.65,714.15,0-12 months,Yes,Yes,0,79.35,1,0.8285058315791757,1,High Risk,Immediate retention offer or customer support follow-up
Male,0,Yes,Yes,36,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,Yes,Credit card (automatic),63.7,2188.5,25-48 months,Yes,No,2,60.791666666666664,0,0.1500686845903764,0,Low Risk,Maintain regular customer relationship
Male,0,Yes,Yes,68,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),85.5,5696.6,49-72 months,Yes,No,2,83.77352941176471,0,0.16376105692446633,0,Low Risk,Maintain regular customer relationship
Female,0,Yes,Yes,35,No,No phone service,DSL,No,No,No,Yes,Yes,No,One year,No,Mailed check,40.9,1383.6,25-48 months,Yes,No,1,39.53142857142857,0,0.16570948729035467,0,Low Risk,Maintain regular customer relationship
Male,0,Yes,Yes,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.55,1205.05,49-72 months,No,No,0,20.084166666666665,0,0.014997414233207464,0,Low Risk,Maintain regular customer relationship
Female,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Two year,No,Mailed check,74.55,5430.65,49-72 months,Yes,No,3,75.42569444444445,0,0.02166804110123071,0,Low Risk,Maintain regular customer relationship
Male,0,No,No,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,930.45,25-48 months,No,No,0,20.67666666666667,1,0.08145597602425415,0,Low Risk,Maintain regular customer relationship
Male,0,Yes,Yes,37,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),91.2,3247.55,25-48 months,Yes,No,0,87.77162162162162,0,0.3590275554008724,0,Low Risk,Maintain regular customer relationship
Female,0,Yes,Yes,7,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,50.7,350.35,0-12 months,Yes,Yes,1,50.050000000000004,0,0.40083800790986895,0,Medium Risk,Monitor customer and offer personalized engagement
Female,0,No,No,4,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),50.7,151.3,0-12 months,Yes,Yes,1,37.825,1,0.5340142946406381,0,Medium Risk,Monitor customer and offer personalized engagement
Female,0,No,No,1,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,54.9,54.9,0-12 months,Yes,Yes,2,54.9,1,0.638233100739936,1,Medium Risk,Monitor customer and offer personalized engagement
Female,0,No,No,4,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,60.4,272.15,0-12 months,Yes,Yes,3,68.0375,1,0.4422600517701418,0,Medium Risk,Monitor customer and offer personalized engagement
Male,0,Yes,No,18,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,49.55,878.35,13-24 months,Yes,Yes,1,48.797222222222224,1,0.44130551605032103,0,Medium Risk,Monitor customer and offer personalized engagement
Female,0,No,No,12,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,No,Mailed check,74.05,872.65,0-12 months,Yes,No,1,72.72083333333333,1,0.4530901513123619,0,Medium Risk,Monitor customer and offer personalized engagement
Female,0,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,80.05,80.05,0-12 months,Yes,Yes,0,80.05,1,0.8430100491970528,1,High Risk,Immediate retention offer or customer support follow-up
Male,0,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),25.0,1738.9,49-72 months,No,No,0,24.15138888888889,0,0.012283032717946169,0,Low Risk,Maintain regular customer relationship
Male,0,Yes,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,20.25,835.5,25-48 months,No,No,0,19.892857142857142,0,0.03244120819613239,0,Low Risk,Maintain regular customer relationship
Male,1,No,No,24,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.1,1712.7,13-24 months,Yes,Yes,0,71.3625,1,0.7657411983646296,1,High Risk,Immediate retention offer or customer support follow-up
Male,0,Yes,Yes,26,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,No,Bank transfer (automatic),78.95,2034.25,25-48 months,Yes,No,0,78.24038461538461,0,0.3848430133392552,0,Low Risk,Maintain regular customer relationship
Female,0,Yes,Yes,68,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),73.0,5163.0,49-72 months,Yes,No,3,75.92647058823529,0,0.09728677379287037,0,Low Risk,Maintain regular customer relationship
Female,0,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.9,323.15,13-24 months,No,No,0,19.008823529411764,0,0.0936325646179566,0,Low Risk,Maintain regular customer relationship
Male,0,Yes,Yes,59,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,111.1,6555.2,49-72 months,Yes,No,3,111.10508474576271,0,0.15385157261438362,0,Low Risk,Maintain regular customer relationship
Male,0,Yes,Yes,13,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),74.4,896.75,13-24 months,Yes,Yes,0,68.98076923076923,1,0.7104313198055808,1,High Risk,Immediate retention offer or customer support follow-up
Female,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.45,42.45,0-12 months,No,Yes,0,21.225,0,0.4654413937576658,0,Medium Risk,Monitor customer and offer personalized engagement
Female,0,Yes,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.65,1335.2,49-72 months,No,No,0,19.928358208955224,0,0.013833958651953767,0,Low Risk,Maintain regular customer relationship
Female,0,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20.05,337.9,13-24 months,No,No,0,19.876470588235293,0,0.09547301011349871,0,Low Risk,Maintain regular customer relationship
Male,0,Yes,No,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Mailed check,80.1,5585.4,49-72 months,Yes,No,4,78.66760563380281,0,0.04050603258307387,0,Low Risk,Maintain regular customer relationship
Female,0,Yes,Yes,17,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),98.6,1704.95,13-24 months,Yes,No,2,100.29117647058824,1,0.39910619893286403,0,Low Risk,Maintain regular customer relationship
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.55,89.55,0-12 months,Yes,Yes,0,89.55,1,0.9262071184491327,1,High Risk,Immediate retention offer or customer support follow-up
Female,0,Yes,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.7,94.45,0-12 months,No,No,0,15.741666666666667,0,0.1764703659081497,0,Low Risk,Maintain regular customer relationship
Male,0,Yes,No,61,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,114.1,7132.15,49-72 months,Yes,Yes,3,116.92049180327868,0,0.6592299290690681,1,Medium Risk,Monitor customer and offer personalized engagement
Female,0,No,No,6,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,73.85,401.3,0-12 months,Yes,Yes,0,66.88333333333334,0,0.851520854676369,1,High Risk,Immediate retention offer or customer support follow-up
Female,1,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,25.05,25.05,0-12 months,Yes,Yes,0,25.05,1,0.7390419420872207,1,High Risk,Immediate retention offer or customer support follow-up
Female,0,Yes,Yes,21,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,102.8,2110.15,13-24 months,Yes,Yes,3,100.48333333333333,1,0.6954535268155744,1,Medium Risk,Monitor customer and offer personalized engagement
Female,0,Yes,No,60,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),110.8,6640.7,49-72 months,Yes,No,3,110.67833333333333,0,0.23324448673111553,0,Low Risk,Maintain regular customer relationship
Female,1,No,No,20,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),85.8,1727.5,13-24 months,Yes,Yes,0,86.375,1,0.7729157324406851,1,High Risk,Immediate retention offer or customer support follow-up
Male,0,Yes,No,22,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),95.9,2234.95,13-24 months,Yes,Yes,2,101.58863636363635,0,0.5001672349168776,0,Medium Risk,Monitor customer and offer personalized engagement
Female,0,No,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.6,827.3,25-48 months,No,No,0,20.682499999999997,0,0.031236859035653017,0,Low Risk,Maintain regular customer relationship
Male,0,No,No,23,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.95,1710.45,13-24 months,Yes,Yes,0,74.36739130434783,1,0.7459228923848016,1,High Risk,Immediate retention offer or customer support follow-up
Female,0,No,Yes,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,45.95,45.95,0-12 months,Yes,Yes,0,45.95,1,0.5432335970623261,0,Medium Risk,Monitor customer and offer personalized engagement
Male,0,No,No,46,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Mailed check,38.25,1755.35,25-48 months,Yes,No,3,38.15978260869565,0,0.0382962099087352,0,Low Risk,Maintain regular customer relationship
Female,0,Yes,Yes,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),69.95,320.4,0-12 months,Yes,Yes,0,64.08,0,0.715105905153335,1,High Risk,Immediate retention offer or customer support follow-up
Male,1,No,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),20.0,1396.0,49-72 months,No,No,0,20.529411764705884,0,0.021226844856066268,0,Low Risk,Maintain regular customer relationship
Female,1,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,25.2,25.2,0-12 months,Yes,Yes,0,25.2,1,0.849788965688457,1,High Risk,Immediate retention offer or customer support follow-up
Female,0,Yes,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.1,43.15,0-12 months,No,Yes,0,21.575,0,0.3788722320588916,0,Low Risk,Maintain regular customer relationship
